seed,dataset,design,method,r2,rmse,missing_frac,secs
0,diabetes,mcar50,m_bias,0.33512447437946824,58.23964972019062,0.5036199095022624,3.8724148273468018
0,diabetes,block3-4of7,hgb,-0.05094730601191699,73.22157250858197,0.6735294117647059,0.19253206253051758
0,diabetes,block3-4of7,tabpfn,0.21192577807454693,63.406260681237114,0.6735294117647059,3.2858641147613525
0,diabetes,block3-4of7,tabpfn_mean,0.22334859602800383,62.945059262978,0.6735294117647059,3.014056921005249
0,diabetes,block3-4of7,m_mask,0.21443535523039703,63.305223380145044,0.6735294117647059,3.7034828662872314
0,diabetes,block3-4of7,m_mask_bias,0.20513453349027144,63.678876950359914,0.6735294117647059,4.060166120529175
0,diabetes,block3-4of7,m_bias,0.2031374112936395,63.758824263317116,0.6735294117647059,3.508331060409546
0,diabetes,block2-5,hgb,-0.11692137650726941,75.48486494799533,0.6819004524886878,0.16750574111938477
0,diabetes,block2-5,tabpfn,0.14721785035706358,65.9580232619757,0.6819004524886878,3.214296817779541
0,diabetes,block2-5,tabpfn_mean,0.12683198330454837,66.74173476017855,0.6819004524886878,2.9479737281799316
0,diabetes,block2-5,m_mask,0.1461848017826859,65.99796149186595,0.6819004524886878,3.8269128799438477
0,diabetes,block2-5,m_mask_bias,0.1399095611830783,66.24004836392794,0.6819004524886878,4.403503894805908
0,diabetes,block2-5,m_bias,0.13743222424748447,66.33537608557694,0.6819004524886878,4.2461183071136475
0,compaction_MDD,none,hgb,0.6916658145549055,0.12567582280912523,0.0,0.23557686805725098
0,compaction_MDD,none,tabpfn,0.7413697666848744,0.11510138353670374,0.0,4.427225112915039
0,compaction_MDD,none,tabpfn_mean,0.7413697666848744,0.11510138353670374,0.0,5.39285683631897
0,compaction_MDD,none,m_mask,0.7413696773502616,0.11510140341554104,0.0,6.37890100479126
0,compaction_MDD,none,m_mask_bias,0.7413699697077291,0.11510133835981987,0.0,7.064245939254761
0,compaction_MDD,none,m_bias,0.7413701616548505,0.11510129564750482,0.0,6.290054082870483
0,compaction_MDD,mcar30,hgb,0.5476995147209892,0.1522139390722054,0.30904761904761907,0.5079770088195801
