dataset,design,method,r2_mean,r2_std,rmse_mean,n
diabetes,mcar50,tabpfn,0.3239688276510336,0.034289369931252416,59.950101369584154,3
diabetes,mcar50,tabpfn_mean,0.32929605232643816,0.03902161817483024,59.70987766976145,3
diabetes,none,hgb,0.31021187873575223,0.04202201632947708,60.529912533428536,3
diabetes,none,m_bias,0.42388261428726404,0.05571968897447237,55.261835935034945,3
diabetes,none,m_mask,0.42388271584501025,0.05571954674106162,55.26183144624724,3
diabetes,none,m_mask_bias,0.4238825823233798,0.05571971204883997,55.26183741328811,3
diabetes,none,tabpfn,0.4238825712619067,0.05571961022141419,55.261838182174806,3
diabetes,none,tabpfn_mean,0.4238825712619067,0.05571961022141419,55.261838182174806,3
friedman1_7f,block2-5,hgb,0.30403400405365855,0.17751811160456624,4.200348856678559,3
friedman1_7f,block2-5,m_bias,0.4149854631264038,0.13553589227474627,3.8578103942198587,3
friedman1_7f,block2-5,m_mask,0.4177843264872094,0.13606626272677325,3.848120521794204,3
friedman1_7f,block2-5,m_mask_bias,0.4154156007958407,0.1381964330713773,3.855633444690657,3
friedman1_7f,block2-5,tabpfn,0.4171964720409278,0.13408597864035593,3.8505800289824577,3
friedman1_7f,block2-5,tabpfn_mean,0.41768895731260863,0.13137133009528998,3.848595832828224,3
friedman1_7f,block3-4of7,hgb,0.3052791669403326,0.08720613104208062,4.225065228478008,3
friedman1_7f,block3-4of7,m_bias,0.4086839296719365,0.05359095785574227,3.898320066257782,3
friedman1_7f,block3-4of7,m_mask,0.41170065286085683,0.04950852009312993,3.889118222605742,3
friedman1_7f,block3-4of7,m_mask_bias,0.40844196459716814,0.053194658570509104,3.89921992161821,3
friedman1_7f,block3-4of7,tabpfn,0.41205696212115867,0.04925130205871485,3.8878968893788652,3
friedman1_7f,block3-4of7,tabpfn_mean,0.4080022958648724,0.04682850473090442,3.9009065066238926,3
friedman1_7f,mcar30,hgb,0.5607448689271713,0.021030707781469406,3.3635275665285858,3
friedman1_7f,mcar30,m_bias,0.6654734711405771,0.012051958719986718,2.933115126458889,3
friedman1_7f,mcar30,m_mask,0.664852409644252,0.020268819888880837,2.93512237892293,3
friedman1_7f,mcar30,m_mask_bias,0.6639492989562232,0.014616118056521332,2.939723242394644,3
friedman1_7f,mcar30,tabpfn,0.6661726297198969,0.017969153706069527,2.929429727901678,3
friedman1_7f,mcar30,tabpfn_mean,0.6303490320233646,0.03758881334823557,3.0822042404662366,3
friedman1_7f,mcar50,hgb,0.40170774504917456,0.10971287347277166,3.9053617504066787,3
friedman1_7f,mcar50,m_bias,0.49494466536069304,0.08571976893675622,3.5900439288824195,3
friedman1_7f,mcar50,m_mask,0.49673466852591136,0.08033381700648656,3.585438251041655,3
friedman1_7f,mcar50,m_mask_bias,0.49438847216410275,0.08560090653514554,3.5922491231522966,3
friedman1_7f,mcar50,tabpfn,0.4972886485400601,0.0813118335217122,3.5829552447222337,3
friedman1_7f,mcar50,tabpfn_mean,0.4563487942395837,0.10170036500946665,3.721796492811931,3
friedman1_7f,none,hgb,0.9227268165657107,0.013086820490983584,1.4041366140855802,3
friedman1_7f,none,m_bias,0.9879629011304267,0.0008078547103201713,0.5558492108567389,3
friedman1_7f,none,m_mask,0.9879628961854946,0.000807865915718024,0.5558493075954374,3
friedman1_7f,none,m_mask_bias,0.9879628942277453,0.0008078652812068152,0.5558493550085991,3
friedman1_7f,none,tabpfn,0.9879629012449769,0.0008078630422088827,0.5558491948023789,3
friedman1_7f,none,tabpfn_mean,0.9879629012449769,0.0008078630422088827,0.5558491948023789,3
