design,target,folds,fold,method,n_test,r2,rmse,secs
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.28681187,tabpfn_ft,395,0.48569561116908866,0.12948749476086488,326.713458776474
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.28681187,m_ft,395,0.48790641669326273,0.12920888545660023,300.67349100112915
